marker,occur,impf,impv,infa,infc,perf,ptca,ptcp,wayq,weqt
B  CNH H HJ> B  XDC H CBJ<J,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  CNH H CNJT B  XDC H CNJ B <FRJM B  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  CNH H CNJT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  CNH H CLJCT CNT H M<FR,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CNH H CCJT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B  CNH H CBJ<JT,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNH H CB<JT,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNH H >XT <FRH B JRX BWL,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CMJM W B  >RY,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CBTWT W B  XDCJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B  CBT W B JWM QDC,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CBJ<J B <FRJM W >XD L  XDC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CB<T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CB<JT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  BQR B  JWM H XMJCJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  BQR B  BQR W B  <RB B  <RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
B  >XRWNH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  >XRNH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  <TJM H HM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  <TJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  <T H Z>T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  <T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  <RB B  JWM H R>CWN,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  <RB B  <RB,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B  <FWR L  XDC H R>CWN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  <FWR L  XDC H CBJ<J H ZH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XT L CLWC CNJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XT L CLC CNJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRWN,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XRJ Z>T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJ MWTJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XRJ MWT MCH <BD JHWH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XRJ MWT JHWJD<,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XRJ MWT JHWC<,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XRJ MWT H KHN H GDL,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJ MWT CNJ BNJ >HRN,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XRJ MWT C>WL,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XRJ MWT >X>B,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XRJ MWT >JCK,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XRJ MWT >BJW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XRJ MTJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJ KL R<TK,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XRJ JHWC<,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XRJ H MGPH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XRJ H JMJM H HM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJ H DBRJM W H >MT H >LH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XRJ H CB<JM CCJM W CNJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJ DBRJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJ >BJMLK,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>XR ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XR H JBL,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XR H DBR H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>XR DBRJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XR CLWXJH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>TMWL CLCM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>TMWL,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>T CB<T H JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>T >RB<JM H JWM W >T >RB<JM H LJLH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>RB<T JMJM B  CNH,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
>RB<JM W XMC CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>RB<JM W >XT CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>RB<JM CNH W CMNH M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>RB<H XDCJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>RB< W CLCJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>RB< M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
>RB< <FRH CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>P LJLWT,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>LP CNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>L QYJR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
>K B JMJK,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>K B  JWM H R>CWN,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>K <TH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
>K,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<RB W BQR W YHRJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<L JWM VWB,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<FRJM W CLC CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<FRJM W >XD JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
<FR CNJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<DJ <RB,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D XYJ H LJLH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<D NYX,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D NKWN H JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
<D MWT H KHN,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
<D MWT CLMH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<D MH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D M MXRT H CBT H CBJ<T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D LJLH,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
<D L MNXT H <RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
<D KN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D JWM MWTW KL JMJ XJJW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D JWM MWTH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D JWM MTW,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<D JWM H CLJCJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
<D JWM >XD L  XDC H R>CWN,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<D H YHRJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<D H XDC H <FJRJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D H JWM MWSD BJT JHWH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<D H JWM H HW>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D H JMJM H HMH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D H JMJM H HM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D H CNH H TCJ<T,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
<D H >WR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
<D H <WLM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D H <T H HJ>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D H <RB H CLCJT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
<D FJBH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D CNT H JWBL,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
<D CNT H DRWR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
<D CNJ DWR W DWR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D BLTJ CMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D >XR H CBT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D >WR H BQR,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D >N,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D >LH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D <WLMJ <D,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D <T H <RB,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
<D <T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
